店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
コメダ珈琲店 千里中央店,千里中央駅 279m,喫茶店,,3.07,34,140,～￥999,"￥1,000～￥1,999",大阪府豊中市新千里東町1-3 せんちゅうパル 3F
焼酎楽膳だんだん,曽根駅 388m,居酒屋,,3.09,9,213,"￥4,000～￥4,999",-,大阪府豊中市南桜塚1-22-7
天ぷら 好日,豊中駅 277m,天ぷら,,3.54,18,845,"￥15,000～￥19,999",-,大阪府豊中市本町3-15-27 宮本マンション 1F
勇麻衣屋,岡町駅 889m,焼肉,,3.21,17,456,"￥6,000～￥7,999",-,大阪府豊中市南桜塚3-2-16
なりまつ,豊中市,寿司、天ぷら,,3.26,38,1607,"￥8,000～￥9,999","￥2,000～￥2,999",大阪府豊中市上野東2-1-1 上野一番館 1F
アドットヌック,豊中駅 138m,カフェ、バー,,3.02,1,53,-,-,大阪府豊中市本町1-2-49
nannan cafe,桜井駅 893m,カフェ,,,1,,-,-,大阪府豊中市永楽荘3-1-13
備長炭 焼き鳥 こっこ屋,柴原阪大前駅 652m,焼き鳥,,3.06,7,169,-,-,大阪府豊中市桜の町1-3-21 シャンティー豊中　１Ｆ
無添くら寿司 豊中春日町店,牧落駅 994m,回転寿司,,3.05,28,125,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市春日町5-8-15
福寿堂,少路（大阪モノレール）駅 906m,和菓子,,3.08,10,159,-,-,大阪府豊中市春日町3-9-12
オズモンド,豊中市,喫茶店,,3.01,1,8,-,-,大阪府豊中市夕日丘1-1-1
喫茶ルポ,服部天神駅 662m,喫茶店,,3.02,1,10,-,-,大阪府豊中市浜1-24-4
マホット コーヒー,曽根駅 152m,カフェ,,3.06,15,612,-,～￥999,大阪府豊中市曽根西町2-14-43
Lei can ting 大阪国際空港店,大阪空港駅 107m,四川料理、担々麺、中華料理,,3.42,137,825,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市螢池西町3-555 大阪国際空港 中央棟 3F 3C-1
KOJIBAR,豊中市,バル、ワインバー、イタリアン,,3.04,6,288,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市上野東2-2-47 B101
すき家 豊中浜店,庄内駅 875m,牛丼、カレー、食堂,,3.03,26,46,～￥999,-,大阪府豊中市浜4-3-7-2
鮮魚鮨処 かまや,蛍池駅 131m,寿司,,3.03,9,252,-,～￥999,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F
広島焼きGOD,庄内駅 978m,お好み焼き、鉄板焼き,,3.02,7,252,-,-,大阪府豊中市庄内栄町4-22-8
クィーン,豊中市,喫茶店,,,4,,-,-,大阪府豊中市北条町4-1-15
服部一貫楼,服部天神駅 272m,中華料理、洋食,,3.11,20,580,"￥1,000～￥1,999",～￥999,大阪府豊中市服部元町2-6-1
錦寿し,蛍池駅 624m,寿司,,3.05,5,86,-,-,大阪府豊中市螢池南町3-2-4
服部天神bakery,服部天神駅 333m,サンドイッチ,,3.06,6,113,-,-,大阪府豊中市服部南町3-3-7
うどん屋 山善,服部天神駅 171m,うどん、うどんすき、丼,,3.55,297,7636,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部本町1-6-7
酒肴一会 ぽん,曽根駅 222m,日本料理,,3.04,3,103,-,-,大阪府豊中市曽根西町3-7-36 トランペットピル 1F
cafe 桜の庄兵衛+,岡町駅 369m,カフェ,,3.02,1,8,-,-,大阪府豊中市中桜塚2-30-35
よりみち酒場 まちあわせ,岡町駅 514m,居酒屋,,,5,,-,-,大阪府豊中市中桜塚2-31-13 1F
本格炭火焼鳥 楽笑,庄内駅 169m,焼き鳥,,3.05,4,39,-,-,大阪府豊中市庄内西町2-20-3
立呑処マキノ,曽根駅 362m,立ち飲み,,3,3,53,-,-,大阪府豊中市曽根南町2-1-6
サケ ショップ サトウ,岡町駅 632m,その他,,,2,5,-,-,大阪府豊中市岡町南3-5-10
洋食屋 CO..ZARA,豊中駅 249m,洋食、オムライス,,3.33,52,1810,-,～￥999,大阪府豊中市本町1-3-19
ユーハイム 阪急百貨店千里阪急店,千里中央駅 254m,洋菓子,,3.01,10,41,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
小麦の郷 ライフ三国橋店,三国駅 577m,パン、サンドイッチ,,3.01,5,17,-,-,大阪府豊中市日出町2-2-18
麺房 鶏くらふと,緑地公園駅 218m,ラーメン、つけ麺,,3.62,384,8989,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-27
BAKERIES LAB. 庄内店,庄内駅 199m,パン,,3,5,28,-,-,大阪府豊中市庄内東町4-13-22
Pau Hana,曽根駅 416m,カフェ,,3,2,38,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市曽根東町6-3-1
じゅんちゃん,岡町駅 374m,お好み焼き、焼きそば、鉄板焼き,,3.06,5,33,-,-,大阪府豊中市中桜塚2-25-12 ループトーワビル1F
肉うどんの丸十,蛍池駅 109m,うどん、おでん、カレーうどん,,3.44,130,2453,"￥1,000～￥1,999",～￥999,大阪府豊中市蛍池東町1-6-6
& コーヒー メゾンカイザー,大阪空港駅 107m,カフェ、パン,,3.19,136,749,～￥999,"￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港北ターミナル 2F
酒処 ひなた,服部天神駅 134m,居酒屋、馬肉料理、海鮮,,3.07,9,320,"￥3,000～￥3,999",-,大阪府豊中市服部元町1-3-2
島珈琲,岡町駅 225m,その他,,,1,42,-,-,大阪府豊中市岡町南1丁目5番47号
ハチ公大志,庄内駅 95m,お好み焼き,,,1,10,-,-,大阪府豊中市庄内東町2-1-23
ふみ,桜井駅 831m,喫茶店,,,3,,-,-,大阪府豊中市永楽荘2-1-13
土手嘉 岡町本店,岡町駅 120m,うどん、そば、寿司,,3.29,71,1748,-,～￥999,大阪府豊中市岡町8-16
鮨・淡路,柴原阪大前駅 411m,寿司,,3.07,9,214,"￥6,000～￥7,999",-,大阪府豊中市柴原町3-6-45
karaoke&dining たかちゃん,庄内駅 145m,居酒屋,,,,,-,-,大阪府豊中市庄内東町2-2-8 牧酒業ビル 2F
LAWSON 豊中立花町三丁目店,豊中駅 692m,コンビニ・スーパー,,3.04,2,2,-,-,大阪府豊中市立花町3-8-17
キムチの豊年 豊中店,庄内駅 579m,その他,,,135,,-,～￥999,大阪府豊中市豊南町西4-3-16 Abbie淀川 1F
大阪塩系 しおゑもん 豊中店,少路（大阪モノレール）駅 582m,ラーメン、つけ麺,,3.34,72,1257,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野東3-18-13
じゅらく,牧落駅 893m,パン、スイーツ,,3.09,20,685,-,-,大阪府豊中市永楽荘4-1-35
三太,豊中市,日本料理、ヨーロッパ料理,,,1,36,-,-,大阪府豊中市長興寺南4-2-1
アジアンレストラン8848,蛍池駅 402m,アジア・エスニック,,3,1,4,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市螢池西町1-26-3
やきとり大吉 服部元町店,服部天神駅 261m,焼き鳥,,,2,49,-,-,大阪府豊中市服部元町2-2-13
日本料理　翠徳亭,少路（大阪モノレール）駅 655m,日本料理,,3.19,27,561,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東3-18-1
ピザハット 豊中西泉丘店,豊中市,ピザ,,3,4,11,-,-,大阪府豊中市西泉丘1-1-1
初酉,服部天神駅 101m,焼き鳥,,3.06,7,115,"￥2,000～￥2,999",-,大阪府豊中市服部豊町1-6-7
酒処赤ちょうちん,豊中駅 286m,焼き鳥、居酒屋、海鮮,,3.06,6,177,-,-,大阪府豊中市本町4-1-28
いなごや酒店,千里中央駅 966m,その他,,3.04,2,112,-,-,大阪府豊中市新千里東町3-3-120-103
黒船 伊丹空港店,大阪空港駅 140m,和菓子、スイーツ,,3.03,19,96,-,-,大阪府豊中市蛍池西町3-555
とりかわ権兵衛 豊中店,庄内駅 634m,もつ鍋,,3.08,17,662,"￥3,000～￥3,999",-,大阪府豊中市庄内幸町3-7-25
都そば 岡町駅前店,岡町駅 23m,そば、うどん,,3.07,23,105,-,～￥999,大阪府豊中市中桜塚1-2-36
肉魚地酒 やすおか,服部天神駅 221m,海鮮、牛料理、日本料理,,3.12,18,629,"￥5,000～￥5,999",-,大阪府豊中市服部南町1-5-6 クレセント南町 1F
ごはんとお菓子 none,岡町駅 257m,オーガニック、カフェ,,3.23,23,999,-,"￥1,000～￥1,999",大阪府豊中市中桜塚2-2-1
博多ラーメン げんこつ 豊中南店,豊中市,ラーメン、つけ麺、餃子,,3.05,69,355,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部西町5-17-24
たこ焼き 元,曽根駅 55m,たこ焼き,,3.01,1,31,-,-,大阪府豊中市曽根西町3-1-1
崖っぷちカレー万福屋,石橋阪大前駅 268m,カレー,,3.03,2,95,-,～￥999,大阪府豊中市待兼山町21-8
Resto,岡町駅 477m,カフェ,,3.02,2,46,-,-,大阪府豊中市中桜塚3-10-2 東洋ビル 102
grandma,柴原阪大前駅 668m,居酒屋、食堂,,,1,3,-,-,大阪府豊中市宮山町1-1-45
家族亭 千里中央店,千里中央駅 91m,そば、うどん、食堂,,3.05,31,250,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-5-3
カンティプル,庄内駅 737m,インド料理、ネパール料理,,,1,,-,-,大阪府豊中市豊南町西3-13-10
セブンイレブン 豊中上新田4丁目店,千里中央駅 750m,コンビニ・スーパー,,,1,2,-,-,大阪府豊中市上新田4-5-5
牛でん 豊中店,豊中市,焼肉、牛タン、ホルモン,,3,9,136,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市名神口1-2-7
無添くら寿司 豊中豊南町店,庄内駅 823m,回転寿司,,3.05,35,155,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市豊南町西3-1-13
柴藤,岡町駅 345m,弁当,,3.05,3,23,-,-,大阪府豊中市岡上の町1-3-12
重寿司,豊中市,寿司,,3.07,13,598,"￥10,000～￥14,999",-,大阪府豊中市東豊中町6-1-21
B-CLUB,岡町駅 144m,喫茶店,,3.05,3,20,-,-,大阪府豊中市岡町9-2
薔薇園,豊中駅 847m,喫茶店,,,,,～￥999,～￥999,大阪府豊中市本町8-3-57
立呑み まえざわ,岡町駅 514m,海鮮、立ち飲み、鳥料理,,3.08,15,565,"￥1,000～￥1,999",-,大阪府豊中市中桜塚2-31-13
喫茶 初恋,曽根駅 413m,喫茶店,,3.07,12,1024,-,-,大阪府豊中市曽根東町5-9-26
つる家 千里阪急ホテル店,千里中央駅 233m,日本料理,,3.23,44,425,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府豊中市新千里東町2-1 千里阪急ホテル東館 ２Ｆ
麺屋 一輝,庄内駅 740m,ラーメン,,3.07,26,528,～￥999,～￥999,大阪府豊中市豊南町西3-12-12
ウェルかめ,曽根駅 506m,バー,,,8,,-,-,大阪府豊中市曽根東町2-12-13 ル・モンド曽根1階C
清風倶楽部,蛍池駅 760m,バー,,3.01,2,196,-,-,大阪府豊中市清風荘1-5-5 BLALYS 1F
想花南,庄内駅 684m,カフェ,,3.01,2,34,-,～￥999,大阪府豊中市庄内幸町1-8-1
カラオケ喫茶沢,庄内駅 840m,カフェ、その他,,,2,,-,-,大阪府豊中市豊南町東4-2-7
たこ家道頓堀くくる 大阪国際空港店,大阪空港駅 186m,たこ焼き,,3.29,343,1258,～￥999,～￥999,大阪府豊中市螢池西町3-555 大阪国際空港 南ターミナル 2F 搭乗待合エリア
DONQ 千里阪急店,千里中央駅 275m,パン、サンドイッチ,,3.04,2,17,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
re:moo,服部天神駅 109m,カフェ、バー,,,1,7,-,-,大阪府豊中市服部元町1-6-11 中西ビル 1F
天ぷら 山崎,豊中市,天ぷら,,3.1,14,564,-,-,大阪府豊中市熊野町4-11-4
LAWSON 千里中央店,千里中央駅 130m,コンビニ・スーパー,,3,4,21,-,-,大阪府豊中市新千里東町1-3
八本足,豊中駅 234m,たこ焼き,,,1,11,-,-,大阪府豊中市本町1-13-29
カフェ マジシャン,服部天神駅 277m,カフェ,,,7,,～￥999,～￥999,大阪府豊中市服部南町1-5-12
まるひら,庄内駅 318m,豚料理,,3.03,8,154,-,-,大阪府豊中市庄内幸町3-1-3
開華,庄内駅 88m,スペイン料理、ワインバー,,3.09,14,299,"￥2,000～￥2,999",-,大阪府豊中市庄内西町2-21-14
キュイ　ラルドワーズ,桃山台駅 955m,ビストロ,,3.57,88,5324,"￥6,000～￥7,999","￥2,000～￥2,999",大阪府豊中市東豊中町5-30-25 ハイツ宮由１F
ドリーム喫茶店,豊中市,喫茶店,,3.01,2,8,-,-,大阪府豊中市庄本町3-3-15
食堂まえざわ,服部天神駅 310m,食堂、居酒屋,,3.26,28,1231,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市服部西町2-5-28
むぎパン,緑地公園駅 331m,パン,,3.14,27,457,-,-,大阪府豊中市寺内1-6-8 第2ヒルトンハイツ 1F
イルプルチーナ,曽根駅 378m,イタリアン、パスタ,,3.22,34,891,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市南桜塚1-22-7
サイゼリヤ イオンタウン豊中緑丘店,少路（大阪モノレール）駅 912m,ファミレス、イタリアン、パスタ,,3.03,16,66,-,～￥999,大阪府豊中市緑丘4-1
anela,豊中駅 326m,その他,,3.02,1,63,-,-,大阪府豊中市本町4-1-24
うなぎのふく山,庄内駅 155m,うなぎ,,3.12,7,275,"￥3,000～￥3,999","￥3,000～￥3,999",大阪府豊中市庄内東町2-2-12
ザ ローストラボ オオサカ,蛍池駅 76m,カフェ,,,25,,-,-,大阪府豊中市蛍池中町3-8-14
鶏日和,蛍池駅 408m,焼き鳥、居酒屋,,3.06,9,526,"￥3,000～￥3,999",-,大阪府豊中市蛍池西町1-26-2
DAISO サンパティオ庄内店,庄内駅 119m,売店,,,1,7,-,-,大阪府豊中市庄内西町3-1-5 サンパティオ B1F
バターフレーク 上野店,豊中市,パン、サンドイッチ,,3.11,20,206,-,-,大阪府豊中市上野東2-2-32
コミュニティカフェ ココカラ,蛍池駅 171m,カフェ、喫茶店,,3.01,1,11,-,～￥999,大阪府豊中市螢池東町2-7-2 プレステージ蛍池 1F
ジャンボカレー,千里中央駅 190m,カレー、居酒屋,,3.43,227,2465,～￥999,～￥999,大阪府豊中市新千里東町1丁目3-3 せんちゅうパル B1F
ぶらり,豊中駅 138m,バル、ダイニングバー,,3.02,3,167,"￥2,000～￥2,999",-,大阪府豊中市本町1-2-49
SAI.Hamburg,曽根駅 147m,ハンバーグ,,3.18,22,701,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市曽根西町3-5-33 1F
鳥づくし 千里阪急店,千里中央駅 286m,焼き鳥、鳥料理,,3.01,5,25,-,～￥999,大阪府豊中市新千里東町1-5-1 千里阪急
ごえん,服部天神駅 105m,居酒屋、日本料理、海鮮,,3.13,17,509,"￥5,000～￥5,999",-,大阪府豊中市服部豊町1-6-16-108
銀や 豊中店,豊中駅 181m,居酒屋,,3.34,51,1619,"￥4,000～￥4,999",-,大阪府豊中市本町2-3
鳥貴族 豊中店,豊中駅 82m,焼き鳥、鳥料理、居酒屋,,3.03,21,204,"￥2,000～￥2,999",-,大阪府豊中市玉井町1-3-2
ラグタイムカフェ,少路（大阪モノレール）駅 414m,喫茶店,,3.08,7,132,-,-,大阪府豊中市桜の町7-10-7
BEARD＆GLAMOUR,豊中駅 862m,バー,,,6,,-,-,大阪府豊中市本町6-8-5 セレスアート豊中 B1F
そこここ,蛍池駅 77m,立ち飲み、日本酒バー,,3.06,6,291,-,-,大阪府豊中市蛍池中町2-3-1 ルシオーレ 南館 1F
Lian,服部天神駅 105m,バー,,,2,,-,-,大阪府豊中市服部豊町1-6-1 リップル服部天神ビル 2F
あほや 夕日丘店,豊中市,たこ焼き、お好み焼き,,3.01,4,51,-,～￥999,大阪府豊中市夕日丘2-10-1
ファミリーマート 豊中本町店,豊中駅 213m,コンビニ・スーパー,,,2,3,-,-,大阪府豊中市本町3-1-47
ほかほか弁当 原田店,曽根駅 801m,弁当,,3,7,53,-,-,大阪府豊中市原田中1-9-10
なかむら,岡町駅 29m,お好み焼き,,3.05,12,143,"￥1,000～￥1,999",-,大阪府豊中市中桜塚1-2-34
ブールミッシュ 庄内店,庄内駅 118m,ケーキ、マカロン、洋菓子,,3.03,11,82,-,-,大阪府豊中市庄内東町2-1-10 1F
GRAND OEUF PUDDING 豊中店,岡町駅 586m,プリン、洋菓子,,3.16,63,817,～￥999,-,大阪府豊中市北桜塚3-2-35
セブンイレブン 千里中央駅北店,千里中央駅 394m,コンビニ・スーパー,,3,4,16,-,-,大阪府豊中市新千里東町1-2-3
てっぱん,庄内駅 36m,居酒屋,,3.02,1,8,-,-,大阪府豊中市庄内東町1-7-38
名騎士館,庄内駅 77m,喫茶店,,3.02,3,44,-,-,大阪府豊中市庄内西町2-22-34
マクドナルド 小曽根オアシス店,服部天神駅 786m,ハンバーガー,,3,2,8,～￥999,～￥999,大阪府豊中市北条町3-2-34 阪急オアシス小曽根店 1F
鶏や 坂本,庄内駅 136m,居酒屋、焼き鳥,,3.01,2,127,-,-,大阪府豊中市庄内東町1-6-9
ちぇら,岡町駅 964m,カフェ,,3.02,2,57,-,-,大阪府豊中市南桜塚4-5-23
おでん居酒屋 よひごと,服部天神駅 105m,おでん、居酒屋,,3.06,9,128,"￥2,000～￥2,999",-,大阪府豊中市服部豊町1-6-16 冨士メイトマンション　１Ｆ
野呂松飯店,岡町駅 61m,ラーメン,,3.49,215,6647,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市中桜塚1-2-3
静光園,服部天神駅 392m,居酒屋,,,6,,-,-,大阪府豊中市服部西町2-7-1
ビアサ カフェアンドアジアンボタン,岡町駅 198m,カフェ,,,1,19,-,-,大阪府豊中市中桜塚2-27-8
たこ焼 ぺちゃ焼 あほや 曽根店,曽根駅 517m,たこ焼き,,3.03,22,181,～￥999,-,大阪府豊中市南桜塚1-21-15
肉の雅屋,庄内駅 29m,その他,,,1,25,-,-,大阪府豊中市庄内東町1-9-16
焼鳥と焼野菜 ぎんすけ 緑地公園店,緑地公園駅 175m,居酒屋、焼き鳥,,3.2,26,754,"￥4,000～￥4,999",-,大阪府豊中市寺内2-2-26 ロワール緑地 1F
サード セッションズ,豊中市,バー,,,2,57,"￥3,000～￥3,999",-,大阪府豊中市東豊中町5-12-1 西谷ハイツ 1F
ガスト 阪急岡町駅前店,岡町駅 43m,ファミレス,,3.04,25,111,-,"￥1,000～￥1,999",大阪府豊中市中桜塚1-1-1
すずきの鳥中華そば,岡町駅 346m,ラーメン、つけ麺,,3.01,4,336,-,"￥1,000～￥1,999",大阪府豊中市中桜塚2-18-2 炭火焼地鶏料理きたろう
TaKuこーひー。,豊中市,カフェ,,,3,,-,-,大阪府豊中市西緑丘3-13-1 サンキョウ西緑ヶ丘ビル 1F
榮右衛門,岡町駅 320m,居酒屋,,3,3,28,-,-,大阪府豊中市中桜塚2-18-18
焼肉 grandma,豊中駅 551m,焼肉、ホルモン、韓国料理,,3.17,10,326,"￥5,000～￥5,999",-,大阪府豊中市本町6-1-3 195ストリートビル 1F
ALBAR 服部店,服部天神駅 54m,パスタ、イタリアン、ピザ,,3.13,63,1252,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市服部豊町1-1-18
味彩清川,岡町駅 244m,お好み焼き,,3.02,2,28,"￥3,000～￥3,999",-,大阪府豊中市中桜塚1-9-3 サンシャインセブン 1F
あっちゃんのからあげ屋 庄内駅前店,庄内駅 94m,からあげ,,3,1,10,-,-,大阪府豊中市庄内西町2-22-12
お茶処 吉田,柴原阪大前駅 188m,喫茶店,,3.09,19,313,-,～￥999,大阪府豊中市柴原町4-8-13
Cafeいちご,神崎川駅 866m,カフェ,,,4,,-,-,大阪府豊中市大黒町3-20-21
キッパーズ,少路（大阪モノレール）駅 263m,バー,,3.07,11,420,"￥3,000～￥3,999",-,大阪府豊中市緑丘1-27-11
カフェロジ,蛍池駅 247m,カフェ,,3.02,1,77,-,-,大阪府豊中市螢池東町2-3-9 2F
ミスタードーナツ 阪急豊中ショップ,豊中駅 37m,ドーナツ、カフェ,,3.03,20,103,-,～￥999,大阪府豊中市本町1-1-1
